Comunidad autónoma;Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1996TII;25,51
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1996TI;25,36
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2001TIV;54,52
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2001TIII;54,11
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2001TII;53,99
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2001TI;53,93
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2000TIV;55,13
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2000TIII;54,79
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2000TII;54,71
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;2000TI;54,46
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1999TIV;54,17
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1999TIII;53,73
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1999TII;53,59
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1999TI;53,43
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1998TIV;53,59
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1998TIII;53,50
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1998TII;53,32
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1998TI;53,24
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1997TIV;53,33
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1997TIII;53,13
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1997TII;53,10
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1997TI;52,91
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1996TIV;52,93
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1996TIII;52,76
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1996TII;52,66
Total nacional;ambos sexos;de 25 y más años;tasas de actividad;1996TI;52,45
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2001TIV;8,98
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2001TIII;8,61
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2001TII;8,75
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2001TI;9,29
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2000TIV;11,45
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2000TIII;11,56
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2000TII;11,90
Total nacional;ambos sexos;de 25 y más años;tasas de paro;2000TI;12,68
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1999TIV;12,97
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1999TIII;12,94
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1999TII;13,13
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1999TI;14,24
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1998TIV;15,25
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1998TIII;15,47
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1998TII;15,82
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1998TI;16,37
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1997TIV;16,97
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1997TIII;17,08
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1997TII;17,47
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1997TI;17,85
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1996TIV;17,99
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1996TIII;17,99
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1996TII;18,55
Total nacional;ambos sexos;de 25 y más años;tasas de paro;1996TI;18,99
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2001TIV;49,63
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2001TIII;49,45
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2001TII;49,27
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2001TI;48,92
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2000TIV;48,82
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2000TIII;48,46
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2000TII;48,20
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;2000TI;47,55
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1999TIV;47,14
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1999TIII;46,78
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1999TII;46,55
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1999TI;45,82
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1998TIV;45,42
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1998TIII;45,23
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1998TII;44,88
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1998TI;44,52
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1997TIV;44,28
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1997TIII;44,05
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1997TII;43,82
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1997TI;43,47
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1996TIV;43,41
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1996TIII;43,27
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1996TII;42,89
Total nacional;ambos sexos;de 25 y más años;tasas de empleo;1996TI;42,49
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2001TIV;25,57
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2001TIII;27,77
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2001TII;24,67
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2001TI;24,37
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2000TIV;26,00
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2000TIII;28,39
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2000TII;25,83
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;2000TI;24,86
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1999TIV;25,79
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1999TIII;26,57
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1999TII;24,25
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1999TI;24,52
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1998TIV;24,60
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1998TIII;25,53
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1998TII;23,88
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1998TI;23,14
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1997TIV;23,60
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1997TIII;24,78
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1997TII;23,68
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1997TI;23,54
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1996TIV;24,56
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1996TIII;25,51
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1996TII;23,49
Total nacional;ambos sexos;de 16 a 19 años;tasas de actividad;1996TI;23,62
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2001TIV;29,38
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2001TIII;27,34
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2001TII;30,32
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2001TI;29,59
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2000TIV;33,75
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2000TIII;32,54
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2000TII;34,10
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;2000TI;37,22
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1999TIV;37,77
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1999TIII;35,28
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1999TII;38,16
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1999TI;40,59
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1998TIV;43,42
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1998TIII;43,22
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1998TII;44,43
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1998TI;46,96
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1997TIV;49,76
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1997TIII;50,86
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1997TII;51,02
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1997TI;51,91
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1996TIV;52,12
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1996TIII;50,26
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1996TII;50,86
Total nacional;ambos sexos;de 16 a 19 años;tasas de paro;1996TI;50,20
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2001TIV;18,06
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2001TIII;20,18
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2001TII;17,19
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2001TI;17,16
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2000TIV;17,22
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2000TIII;19,15
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2000TII;17,02
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;2000TI;15,60
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1999TIV;16,05
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1999TIII;17,19
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1999TII;15,00
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1999TI;14,57
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1998TIV;13,92
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1998TIII;14,50
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1998TII;13,27
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1998TI;12,28
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1997TIV;11,86
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1997TIII;12,18
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1997TII;11,60
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1997TI;11,32
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1996TIV;11,76
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1996TIII;12,69
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1996TII;11,54
Total nacional;ambos sexos;de 16 a 19 años;tasas de empleo;1996TI;11,77
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2001TIV;61,06
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2001TIII;61,61
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2001TII;59,52
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2001TI;58,80
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2000TIV;62,12
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2000TIII;62,89
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2000TII;60,13
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;2000TI;60,30
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1999TIV;60,81
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1999TIII;61,56
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1999TII;59,18
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1999TI;59,58
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1998TIV;59,87
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1998TIII;60,68
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1998TII;58,51
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1998TI;58,77
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1997TIV;59,85
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1997TIII;59,91
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1997TII;58,40
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1997TI;59,28
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1996TIV;59,74
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1996TIII;60,82
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1996TII;59,24
Total nacional;ambos sexos;de 20 a 24 años;tasas de actividad;1996TI;60,54
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2001TIV;19,13
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2001TIII;18,80
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2001TII;18,11
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2001TI;19,42
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2000TIV;23,31
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2000TIII;23,00
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2000TII;22,57
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;2000TI;25,08
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1999TIV;25,68
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1999TIII;26,03
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1999TII;26,41
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1999TI;29,17
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1998TIV;31,22
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1998TIII;31,81
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1998TII;32,93
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1998TI;34,22
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1997TIV;34,55
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1997TIII;34,44
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1997TII;35,63
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1997TI;37,14
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1996TIV;37,96
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1996TIII;38,65
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1996TII;39,18
Total nacional;ambos sexos;de 20 a 24 años;tasas de paro;1996TI;41,12
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2001TIV;49,38
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2001TIII;50,03
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2001TII;48,74
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2001TI;47,38
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2000TIV;47,64
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2000TIII;48,42
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2000TII;46,56
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;2000TI;45,18
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1999TIV;45,20
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1999TIII;45,54
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1999TII;43,55
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1999TI;42,20
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1998TIV;41,18
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1998TIII;41,38
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1998TII;39,24
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1998TI;38,66
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1997TIV;39,17
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1997TIII;39,28
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1997TII;37,59
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1997TI;37,26
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1996TIV;37,06
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1996TIII;37,31
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1996TII;36,03
Total nacional;ambos sexos;de 20 a 24 años;tasas de empleo;1996TI;35,65
Total nacional;ambos sexos;de 25 a 54 años;tasas de actividad;2001TIV;77,00
Total nacional;ambos sexos;de 25 a 54 años;tasas de actividad;2001TIII;76,48
Total nacional;ambos sexos;de 25 a 54 años;tasas de actividad;2001TII;76,36
Total nacional;ambos sexos;de 25 a 54 años;tasas de actividad;2001TI;76,36
Total nacional;ambos sexos;de 25 a 54 años;tasas de actividad;2000TIV;78,24
Total nacional;ambos sexos;de 25 a 54 años;tasas de actividad;2000TIII;77,85
Total nacional;ambos sexos;de 25 a 54 años;tasas de actividad;2000TII;77,85
